-DOCSTART- -X- O
liệu LF I-LF 
quan LF I-LF 
hệ LF I-LF 
mã LF I-LF 
nguồn LF I-LF 
mở LF I-LF 
( OT B-O 
RDBMS AN B-AN 
) OT B-O 
dựa OT B-O 

( OT B-O 
dữ OT B-O 
liệu OT B-O 
) OT B-O 
E OT B-O 
với OT B-O 
tác OT B-O 
vụ OT B-O 
T OT B-O 
và OT B-O 
được OT B-O 
đánh OT B-O 
giá OT B-O 
bởi OT B-O 
độ OT B-O 
đo OT B-O 
P OT B-O 
nếu OT B-O 
máy OT B-O 
tính OT B-O 
khiến OT B-O 
tác OT B-O 
vụ OT B-O 
T OT B-O 
này OT B-O 
cải OT B-O 
thiện OT B-O 
được OT B-O 
độ OT B-O 
chính OT B-O 
xác OT B-O 
P OT B-O 
thông OT B-O 
qua OT B-O 
dữ OT B-O 
liệu OT B-O 
E OT B-O 
cho OT B-O 
trước OT B-O 
. OT B-O 
Học OT B-O 
máy OT B-O 
có OT B-O 
liên OT B-O 
hệ OT B-O 
mật OT B-O 
thiết OT B-O 

Hình OT B-O 
9 OT B-O 
: OT B-O 
Hiệu OT B-O 
suất OT B-O 
LPP OT B-O 
của OT B-O 
các OT B-O 
iDroppout OT B-O 
trên OT B-O 
2 OT B-O 
bộ OT B-O 
20NewsGroups OT B-O 
và OT B-O 
TMN OT B-O 
title OT B-O 
khi OT B-O 
thay OT B-O 
đổi OT B-O 
phương OT B-O 
sai OT B-O 
σ OT B-O 
2 OT B-O 
Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Văn OT B-O 
Sơn OT B-O 
, OT B-O 
20143863 OT B-O 
, OT B-O 
K59 OT B-O 
, OT B-O 
Lớp OT B-O 
KSTN OT B-O 
- OT B-O 
CNTT OT B-O 
62 OT B-O 

trình OT B-O 
học OT B-O 
chuỗi OT B-O 
tương OT B-O 
tác OT B-O 
của OT B-O 
User OT B-O 
cũng OT B-O 
chưa OT B-O 
tối OT B-O 
ưu OT B-O 
. OT B-O 
Hơn OT B-O 
nữa OT B-O 
, OT B-O 
mô OT B-O 
hình OT B-O 
LSTUR OT B-O 
gặp OT B-O 
vấn OT B-O 
đề OT B-O 
với OT B-O 
chuỗi OT B-O 
tương OT B-O 
tác OT B-O 
dài OT B-O 
, OT B-O 
các OT B-O 
hành OT B-O 
vi OT B-O 
của OT B-O 
người OT B-O 
dùng OT B-O 
càng OT B-O 
xa OT B-O 
trong OT B-O 

Trí LF B-LF 
tuệ LF I-LF 
nhân LF I-LF 
tạo LF I-LF 
: OT B-O 
( OT B-O 
AI AN B-AN 
- OT B-O 
Artificial OT B-O 
Intelligence OT B-O 
) OT B-O 
là OT B-O 
các OT B-O 
kỹ OT B-O 
thuật OT B-O 
giúp OT B-O 
cho OT B-O 
máy OT B-O 
tính OT B-O 
có OT B-O 
thể OT B-O 
thực OT B-O 
hiện OT B-O 
những OT B-O 
công OT B-O 
việc OT B-O 
thường OT B-O 
ngày OT B-O 
của OT B-O 
con OT B-O 
người OT B-O 
chúng OT B-O 
ta OT B-O 
. OT B-O 
Các OT B-O 

ˆ OT B-O 
t OT B-O 
L̂ OT B-O 
. OT B-O 
Do OT B-O 
đó OT B-O 
có OT B-O 
thể OT B-O 
cập OT B-O 
nhật OT B-O 
các OT B-O 
tham OT B-O 
số OT B-O 
biến OT B-O 
phân OT B-O 
• OT B-O 
∇ OT B-O 

CIFAR100 OT B-O 
và OT B-O 
Split OT B-O 
CIFAR10 OT B-O 
/ OT B-O 
100 OT B-O 
. OT B-O 
Hình OT B-O 
4 OT B-O 
. OT B-O 
7 OT B-O 
mô OT B-O 
tả OT B-O 
chi OT B-O 
tiết OT B-O 
kiến OT B-O 
trúc OT B-O 
của OT B-O 
phương OT B-O 
pháp OT B-O 
đề OT B-O 
xuất OT B-O 
được OT B-O 
sử OT B-O 
dụng OT B-O 
trong OT B-O 
thử OT B-O 
nghiệm OT B-O 
này OT B-O 
. OT B-O 

kịch OT B-O 
bản OT B-O 
học OT B-O 
từng OT B-O 
miền OT B-O 
; OT B-O 
P OT B-O 
( OT B-O 
Y OT B-O 
t OT B-O 
) OT B-O 
= OT B-O 
P OT B-O 
( OT B-O 
Y OT B-O 
t+1 OT B-O 
) OT B-O 
và OT B-O 
Y OT B-O 
t OT B-O 
6 OT B-O 
= OT B-O 
Y OT B-O 
t+1 OT B-O 
trong OT B-O 
kịch OT B-O 
bản OT B-O 
học OT B-O 
từng OT B-O 
lớp OT B-O 
. OT B-O 
2.2 OT B-O 

Xét OT B-O 
sự OT B-O 
thay OT B-O 
đổi OT B-O 
của OT B-O 
từng OT B-O 
tác OT B-O 
vụ OT B-O 
ở OT B-O 
hình OT B-O 
5 OT B-O 
. OT B-O 
4 OT B-O 
, OT B-O 
AGS OT B-O 
- OT B-O 
CL OT B-O 
duy OT B-O 
trì OT B-O 
ổn OT B-O 
định OT B-O 
độ OT B-O 
chính OT B-O 
xác OT B-O 
của OT B-O 
các OT B-O 
tác OT B-O 
vụ OT B-O 
, OT B-O 
VBD OT B-O 
- OT B-O 
CL OT B-O 
cũng OT B-O 
tương OT B-O 
tự OT B-O 
nhưng OT B-O 
trên OT B-O 
một OT B-O 
số OT B-O 
tác OT B-O 
vụ OT B-O 
như OT B-O 
tác OT B-O 
vụ OT B-O 
đầu OT B-O 
tiên OT B-O 
có OT B-O 
quên OT B-O 
nhiều OT B-O 
hơn OT B-O 
hay OT B-O 
thứ OT B-O 
năm OT B-O 
có OT B-O 
cải OT B-O 
thiện OT B-O 
được OT B-O 
độ OT B-O 

có OT B-O 
thể OT B-O 
khiến OT B-O 
cho OT B-O 
số OT B-O 
lượng OT B-O 
tham OT B-O 
số OT B-O 
của OT B-O 
mô OT B-O 
hình OT B-O 
tăng OT B-O 
lên OT B-O 
đáng OT B-O 
kể OT B-O 
khi OT B-O 
số OT B-O 
lượng OT B-O 
tác OT B-O 
vụ OT B-O 
ngày OT B-O 
càng OT B-O 
nhiều OT B-O 
. OT B-O 
Biến OT B-O 
hỗ OT B-O 
trợ OT B-O 
𝑠 OT B-O 
( OT B-O 
𝑙 OT B-O 
) OT B-O 
là OT B-O 
ma OT B-O 
trận OT B-O 
có OT B-O 
kích OT B-O 
thước OT B-O 
𝑀 OT B-O 
× OT B-O 
𝐷 OT B-O 
, OT B-O 
tuy OT B-O 
nhiên OT B-O 
ở OT B-O 

Q OT B-O 
: OT B-O 
tổng OT B-O 
số OT B-O 
item OT B-O 
gợi OT B-O 
ý OT B-O 
rank OT B-O 
i OT B-O 
: OT B-O 
Vị OT B-O 
trí OT B-O 
thứ OT B-O 
i OT B-O 
Độ OT B-O 
đo OT B-O 
nDCG OT B-O 
@ OT B-O 
k OT B-O 

Mã OT B-O 
nguồn OT B-O 
của OT B-O 
hai OT B-O 
phương OT B-O 
pháp OT B-O 
EWC OT B-O 
và OT B-O 
UCL OT B-O 
được OT B-O 
sử OT B-O 
dụng OT B-O 
và OT B-O 
kế OT B-O 
thừa OT B-O 
từ OT B-O 
mã OT B-O 
nguồn OT B-O 
công OT B-O 
bố OT B-O 
trong OT B-O 
bài OT B-O 
báo OT B-O 
gốc OT B-O 
UCL OT B-O 
[ OT B-O 
3 OT B-O 
] OT B-O 
. OT B-O 
Phương OT B-O 
pháp OT B-O 
VCL OT B-O 
được OT B-O 
cài OT B-O 
đặt OT B-O 
lại OT B-O 
dựa OT B-O 

Tìm OT B-O 
hiểu OT B-O 
về OT B-O 
phương OT B-O 
pháp OT B-O 
Auto-encoding OT B-O 
variational OT B-O 
bayes OT B-O 
( OT B-O 
VAE OT B-O 
) OT B-O 
. OT B-O 
Áp OT B-O 
dụng OT B-O 
phương OT B-O 
pháp OT B-O 
VAE OT B-O 
vào OT B-O 
mô OT B-O 
hình OT B-O 
LDA OT B-O 
. OT B-O 
Thực OT B-O 
nghiệm OT B-O 
xây OT B-O 
dựng OT B-O 
mô OT B-O 
hình OT B-O 
và OT B-O 
so OT B-O 
sánh OT B-O 
với OT B-O 
mô OT B-O 
hình OT B-O 
khác OT B-O 
là OT B-O 
Online OT B-O 
LDA OT B-O 

liên OT B-O 
tục OT B-O 
. OT B-O 
Đây OT B-O 
chính OT B-O 
là OT B-O 
động OT B-O 
lực OT B-O 
cho OT B-O 
tác OT B-O 
giả OT B-O 
của OT B-O 
EWC OT B-O 
và OT B-O 
các OT B-O 
phương OT B-O 
pháp OT B-O 
tiếp OT B-O 
cận OT B-O 
dựa OT B-O 
trên OT B-O 
ràng OT B-O 
buộc OT B-O 
trọng OT B-O 
số OT B-O 
khác OT B-O 
đề OT B-O 
ra OT B-O 
giải OT B-O 
pháp OT B-O 
có OT B-O 
thể OT B-O 
đánh OT B-O 
giá OT B-O 
được OT B-O 
tầm OT B-O 
quan OT B-O 

Ở OT B-O 
đây OT B-O 
, OT B-O 
ta OT B-O 
sẽ OT B-O 
quan OT B-O 
tâm OT B-O 
đến OT B-O 
số OT B-O 
lượng OT B-O 
click OT B-O 
mà OT B-O 
mô OT B-O 
hình OT B-O 
có OT B-O 
thể OT B-O 
dự OT B-O 
đoán OT B-O 
đúng OT B-O 
ở OT B-O 
trong OT B-O 
top OT B-O 
K OT B-O 
. OT B-O 
Ta OT B-O 
gọi OT B-O 
độ OT B-O 

tác OT B-O 
vụ OT B-O 
t OT B-O 
được OT B-O 
viết OT B-O 
như OT B-O 
sau OT B-O 
: OT B-O 
| OT B-O 
Dt OT B-O 
| OT B-O 
X OT B-O 

Mô OT B-O 
hình OT B-O 
học OT B-O 
biểu OT B-O 
diễn OT B-O 
văn OT B-O 
bản OT B-O 
dựa OT B-O 
trên OT B-O 
chủ OT B-O 
đề OT B-O 
tiềm OT B-O 
ẩn OT B-O 
của OT B-O 
văn OT B-O 
bản OT B-O 
( OT B-O 
LDA OT B-O 
) OT B-O 
[ OT B-O 
1 OT B-O 
] OT B-O 
dù OT B-O 
biểu OT B-O 
diễn OT B-O 
văn OT B-O 
bản OT B-O 
theo OT B-O 

Từ OT B-O 
kết OT B-O 
quả OT B-O 
trên OT B-O 
, OT B-O 
ta OT B-O 
có OT B-O 
thể OT B-O 
thấy OT B-O 
biểu OT B-O 
diễn OT B-O 
từ OT B-O 
mô OT B-O 
hình OT B-O 
học OT B-O 
biểu OT B-O 
diễn OT B-O 
đề OT B-O 
xuất OT B-O 
khi OT B-O 
so OT B-O 
với OT B-O 
biểu OT B-O 
diễn OT B-O 
CNN OT B-O 
luôn OT B-O 
cho OT B-O 
kết OT B-O 
quả OT B-O 
vượt OT B-O 
trội OT B-O 
, OT B-O 
mô OT B-O 
hình OT B-O 
NRMS OT B-O 
cho OT B-O 
kết OT B-O 
quả OT B-O 
tốt OT B-O 
hơn OT B-O 
1 OT B-O 
% OT B-O 
trên OT B-O 
các OT B-O 
độ OT B-O 
đo OT B-O 
, OT B-O 
mô OT B-O 
hình OT B-O 
NAML OT B-O 
cho OT B-O 
kết OT B-O 
quả OT B-O 
tốt OT B-O 
hơn OT B-O 
6 OT B-O 
- OT B-O 
8 OT B-O 
% OT B-O 
và OT B-O 
mô OT B-O 
hình OT B-O 

Mô OT B-O 
hình OT B-O 
được OT B-O 
gọi OT B-O 
là OT B-O 
ITE- OT B-O 
onehot OT B-O 
bởi OT B-O 
vì OT B-O 
đầu OT B-O 
vào OT B-O 
của OT B-O 
mô OT B-O 
hình OT B-O 
là OT B-O 
các OT B-O 
vec OT B-O 
- OT B-O 
tơ OT B-O 
one OT B-O 
- OT B-O 
hot OT B-O 
mã OT B-O 
hóa OT B-O 
định OT B-O 
danh OT B-O 
của OT B-O 
người OT B-O 
dùng OT B-O 
và OT B-O 
item OT B-O 
. OT B-O 
Sử OT B-O 
dụng OT B-O 
các OT B-O 
ký OT B-O 
hiệu OT B-O 
tương OT B-O 
tự OT B-O 
như OT B-O 
trong OT B-O 
mô OT B-O 
hình OT B-O 
NeuMF OT B-O 
( OT B-O 
mục OT B-O 
2 OT B-O 
. OT B-O 
3 OT B-O 
. OT B-O 
5 OT B-O 
) OT B-O 
, OT B-O 
mô OT B-O 
hình OT B-O 

False OT B-O 
negative OT B-O 
( OT B-O 
FN OT B-O 
) OT B-O 
Dự OT B-O 
đoán OT B-O 

. OT B-O 
Từ OT B-O 
đó OT B-O 
VD OT B-O 
có OT B-O 
thể OT B-O 
biểu OT B-O 
diễn OT B-O 
hàm OT B-O 
mục OT B-O 
tiêu OT B-O 
dưới OT B-O 
dạng OT B-O 
giống OT B-O 
như OT B-O 
VI OT B-O 
trong OT B-O 
công OT B-O 
thức OT B-O 
PT OT B-O 
2 OT B-O 
. OT B-O 
3 OT B-O 
, OT B-O 
ta OT B-O 
viết OT B-O 
lại OT B-O 
như OT B-O 
sau OT B-O 
: OT B-O 

− OT B-O 
η OT B-O 
− OT B-O 
P̂i OT B-O 
( OT B-O 
r̂i OT B-O 
− OT B-O 
P̂i OT B-O 
qi OT B-O 
) OT B-O 
+ OT B-O 
λqi OT B-O 
s OT B-O 
Tương OT B-O 
tự OT B-O 
, OT B-O 
công OT B-O 
thức OT B-O 
cập OT B-O 
nhật OT B-O 
cho OT B-O 
mỗi OT B-O 
cột OT B-O 
của OT B-O 
P OT B-O 
là OT B-O 

Mỗi OT B-O 
cột OT B-O 
trong OT B-O 
ma OT B-O 
trận OT B-O 
tương OT B-O 
ứng OT B-O 
với OT B-O 
một OT B-O 
vec OT B-O 
-tơ OT B-O 
biểu OT B-O 
diễn OT B-O 
thuộc OT B-O 
tính OT B-O 
ẩn OT B-O 
cho OT B-O 
bộ OT B-O 
phim OT B-O 
. OT B-O 
Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Trọng OT B-O 
Nhật OT B-O 
, OT B-O 
20143316 OT B-O 
, OT B-O 
K59 OT B-O 
, OT B-O 
Lớp OT B-O 
KSTN OT B-O 
- OT B-O 
CNTT OT B-O 

10 OT B-O 
2 OT B-O 
KIẾN OT B-O 
THỨC OT B-O 
CƠ OT B-O 
SỞ OT B-O 
bài OT B-O 
toán OT B-O 
gợi OT B-O 
ý OT B-O 
bán OT B-O 
hàng OT B-O 
, OT B-O 
các OT B-O 
sản OT B-O 
phẩm OT B-O 
được OT B-O 
bán OT B-O 
là OT B-O 
item OT B-O 
; OT B-O 
trong OT B-O 
bài OT B-O 
toán OT B-O 
gợi OT B-O 
ý OT B-O 

2008 OT B-O 
) OT B-O 
. OT B-O 
Bộ OT B-O 
dữ OT B-O 
liệu OT B-O 
này OT B-O 
gồm OT B-O 
các OT B-O 
cặp OT B-O 
câu OT B-O 
được OT B-O 
trích OT B-O 
rút OT B-O 
ra OT B-O 
từ OT B-O 
các OT B-O 
bài OT B-O 
báo OT B-O 
của OT B-O 
Wall OT B-O 
Street OT B-O 
Journal OT B-O 
( OT B-O 
WSJ OT B-O 
) OT B-O 
được OT B-O 
tạo OT B-O 
ra OT B-O 
từ OT B-O 
năm OT B-O 
2008 OT B-O 
và OT B-O 
được OT B-O 
đánh OT B-O 
giá OT B-O 
là OT B-O 
một OT B-O 
tập OT B-O 
dữ OT B-O 
liệu OT B-O 
chuẩn OT B-O 
cho OT B-O 

Trong OT B-O 
mô OT B-O 
hình OT B-O 
ITE OT B-O 
- OT B-O 
onehot OT B-O 
, OT B-O 
các OT B-O 
đầu OT B-O 
ra OT B-O 
thực OT B-O 
tế OT B-O 
nhận OT B-O 
các OT B-O 
giá OT B-O 
trị OT B-O 
0 OT B-O 
hoặc OT B-O 
1 OT B-O 
. OT B-O 
Do OT B-O 
đó OT B-O 
ta OT B-O 
sử OT B-O 
dụng OT B-O 
hàm OT B-O 
lỗi OT B-O 
log-loss OT B-O 
: OT B-O 
X OT B-O 

mới OT B-O 
, OT B-O 
một OT B-O 
tư OT B-O 
duy OT B-O 
mới OT B-O 
cho OT B-O 
hướng OT B-O 
nghiên OT B-O 
cứu OT B-O 
CL OT B-O 
. OT B-O 
Đồ OT B-O 
án OT B-O 
tốt OT B-O 
nghiệp OT B-O 

Trong OT B-O 
cả OT B-O 
hai OT B-O 
trường OT B-O 
hợp OT B-O 
nêu OT B-O 
trên OT B-O 
trọng OT B-O 
số OT B-O 
của OT B-O 
mạng OT B-O 
𝜃 OT B-O 
đều OT B-O 
có OT B-O 
thể OT B-O 
diễn OT B-O 
giải OT B-O 
lại OT B-O 
qua OT B-O 
một OT B-O 
ma OT B-O 
trận OT B-O 
trọng OT B-O 
số OT B-O 
mới OT B-O 
là OT B-O 
W OT B-O 
, OT B-O 
trong OT B-O 
đó OT B-O 
các OT B-O 
thành OT B-O 
phần OT B-O 
sẽ OT B-O 
là OT B-O 
các OT B-O 
biến OT B-O 
ngẫu OT B-O 
17 OT B-O 

index OT B-O 
nhỏ OT B-O 
hơn OT B-O 
– OT B-O 
chuỗi OT B-O 
lambda OT B-O 
được OT B-O 
sắp OT B-O 
xếp OT B-O 
từ OT B-O 
lớn OT B-O 
đến OT B-O 
bé OT B-O 
) OT B-O 
, OT B-O 
đồng OT B-O 
nghĩa OT B-O 
với OT B-O 
ít OT B-O 
biến OT B-O 
được OT B-O 
chọn OT B-O 
hơn OT B-O 
. OT B-O 
FCM OT B-O 
có OT B-O 
kích OT B-O 
thước OT B-O 
các OT B-O 
nhóm OT B-O 
lớn OT B-O 
( OT B-O 
do OT B-O 
chỉ OT B-O 
có OT B-O 
25 OT B-O 
nhóm OT B-O 
) OT B-O 
nên OT B-O 
số OT B-O 
gene OT B-O 
được OT B-O 
chọn OT B-O 

• OT B-O 
Giả OT B-O 
sử OT B-O 
dữ OT B-O 
liệu OT B-O 
được OT B-O 
sinh OT B-O 
độc OT B-O 
lập OT B-O 
, OT B-O 
đồng OT B-O 
nhất OT B-O 
từ OT B-O 
một OT B-O 
phân OT B-O 
phối OT B-O 
với OT B-O 
tham OT B-O 
số OT B-O 
Θ OT B-O 
và OT B-O 
tri OT B-O 
thức OT B-O 
tiên OT B-O 
nghiệm OT B-O 
η OT B-O 
, OT B-O 
tức OT B-O 
là OT B-O 
p OT B-O 
( OT B-O 
x OT B-O 
| OT B-O 
Θ OT B-O 
, OT B-O 
η OT B-O 
) OT B-O 
. OT B-O 
Đồng OT B-O 
thời OT B-O 
cũng OT B-O 
giả OT B-O 
sử OT B-O 
phân OT B-O 

được OT B-O 
cho OT B-O 
là OT B-O 
sẽ OT B-O 
nắm OT B-O 
bắt OT B-O 
được OT B-O 
cấu OT B-O 
trúc OT B-O 
phức OT B-O 
tạp OT B-O 
trong OT B-O 
tương OT B-O 
tác OT B-O 
giữa OT B-O 
người OT B-O 
dùng OT B-O 
với OT B-O 
item OT B-O 
, OT B-O 
từ OT B-O 
đó OT B-O 
cải OT B-O 
thiện OT B-O 
chất OT B-O 
lượng OT B-O 
dự OT B-O 
đoán OT B-O 
. OT B-O 
Đầu OT B-O 
vào OT B-O 
cho OT B-O 
mô OT B-O 
hình OT B-O 
NCF OT B-O 
là OT B-O 
các OT B-O 
vec OT B-O 
- OT B-O 
tơ OT B-O 
u OT B-O 
và OT B-O 
i OT B-O 
tương OT B-O 
ứng OT B-O 
mô OT B-O 
tả OT B-O 
cho OT B-O 
người OT B-O 

là OT B-O 
: OT B-O 
alpha OT B-O 
=0.7 OT B-O 
, OT B-O 
fit OT B-O 
_ OT B-O 
prior OT B-O 
= OT B-O 
True OT B-O 
• OT B-O 
Máy LF B-LF 
vec LF I-LF 
- LF I-LF 
tơ LF I-LF 
hỗ LF I-LF 
trợ LF I-LF 
( OT B-O 
SVM AN B-AN 
) OT B-O 
: OT B-O 
Thư OT B-O 
viện OT B-O 
sklearn OT B-O 
hỗ LF I-LF 
trợ LF I-LF 
thuật OT B-O 
toán OT B-O 
SVM AN I-AN 
với OT B-O 
nhiều OT B-O 
nhân OT B-O 
khác OT B-O 
nhau OT B-O 
: OT B-O 
SVC AN B-AN 
với OT B-O 

ta OT B-O 
thường OT B-O 
sử OT B-O 
dụng OT B-O 
các OT B-O 
phiên OT B-O 
bản OT B-O 
cải OT B-O 
tiến OT B-O 
của OT B-O 
giảm OT B-O 
gradient OT B-O 
như OT B-O 
Stochastic OT B-O 
gradient OT B-O 
descent OT B-O 
( OT B-O 
SGD OT B-O 
) OT B-O 
[ OT B-O 
23 OT B-O 
] OT B-O 
, OT B-O 
AdaGrad OT B-O 
[ OT B-O 
9 OT B-O 
] OT B-O 
, OT B-O 
Adam OT B-O 
[ OT B-O 
24 OT B-O 
] OT B-O 
, OT B-O 
Nesterov OT B-O 
’ OT B-O 
s OT B-O 
accelerated OT B-O 
gradient OT B-O 
descent OT B-O 
[ OT B-O 
47 OT B-O 
] OT B-O 
. OT B-O 
. OT B-O 
. OT B-O 
1.2.2 OT B-O 

của OT B-O 
LDA OT B-O 
và OT B-O 
có OT B-O 
tính OT B-O 
diễn OT B-O 
giải OT B-O 
cao OT B-O 
, OT B-O 
gần OT B-O 
gũi OT B-O 
với OT B-O 
con OT B-O 
người OT B-O 
, OT B-O 
từ OT B-O 
đó OT B-O 
áp OT B-O 
dụng OT B-O 
vào OT B-O 
các OT B-O 
mô OT B-O 
hình OT B-O 
hệ OT B-O 
gợi OT B-O 
ý OT B-O 
để OT B-O 
so OT B-O 
sánh OT B-O 
và OT B-O 
đánh OT B-O 
giá OT B-O 
kết OT B-O 
quả OT B-O 
. OT B-O 
Ngoài OT B-O 
ra OT B-O 
, OT B-O 
đồ OT B-O 
án OT B-O 
sẽ OT B-O 
giới OT B-O 
thiệu OT B-O 

( OT B-O 
38 OT B-O 
) OT B-O 
Ở OT B-O 
đây OT B-O 
thay OT B-O 
x OT B-O 
trong OT B-O 
VB OT B-O 
cố OT B-O 
điển OT B-O 
bởi OT B-O 
X OT B-O 
được OT B-O 
sinh OT B-O 
ra OT B-O 
từ OT B-O 
phân OT B-O 
phối OT B-O 
population OT B-O 
Fα OT B-O 
. OT B-O 
Tính OT B-O 
chất OT B-O 
: OT B-O 

hợp OT B-O 
với OT B-O 
sở OT B-O 
thích OT B-O 
của OT B-O 
User OT B-O 
hơn OT B-O 
. OT B-O 
Cấu OT B-O 
trúc OT B-O 
mô OT B-O 
hình OT B-O 
NRMS OT B-O 
có OT B-O 
thể OT B-O 
được OT B-O 
quan OT B-O 
sát OT B-O 
trong OT B-O 
hình OT B-O 
sau OT B-O 
đây OT B-O 
[ OT B-O 
2 OT B-O 
] OT B-O 
: OT B-O 

M OT B-O 
( OT B-O 
b OT B-O 
) OT B-O 
iDropout OT B-O 
cho OT B-O 
mô OT B-O 
hình OT B-O 
LDA OT B-O 

Sinh OT B-O 
viên OT B-O 
thực OT B-O 
hiện OT B-O 
: OT B-O 
Nguyễn OT B-O 
Trọng OT B-O 
Nhật OT B-O 
, OT B-O 
20143316 OT B-O 
, OT B-O 
K59 OT B-O 
, OT B-O 
Lớp OT B-O 
KSTN OT B-O 
- OT B-O 
CNTT OT B-O 
19 OT B-O 
2 OT B-O 
KIẾN OT B-O 
THỨC OT B-O 
CƠ OT B-O 
SỞ OT B-O 

12GB OT B-O 
( OT B-O 
16GB OT B-O 
) OT B-O 
giờ OT B-O 
/ OT B-O 
ngày OT B-O 

mức OT B-O 
văn OT B-O 
bản OT B-O 
đang OT B-O 
là OT B-O 
phương OT B-O 
pháp OT B-O 
cho OT B-O 
kết OT B-O 
quả OT B-O 
tốt OT B-O 
nhất OT B-O 
tại OT B-O 
thời OT B-O 
điểm OT B-O 
đề OT B-O 
xuất OT B-O 
. OT B-O 
2.1 OT B-O 
. OT B-O 
Phương OT B-O 
pháp OT B-O 
tiếp OT B-O 
cận OT B-O 
dựa OT B-O 
trên OT B-O 
Support OT B-O 
Vector OT B-O 
Machine OT B-O 
( OT B-O 
SVM OT B-O 
) OT B-O 

vec OT B-O 
-tơ OT B-O 
xi OT B-O 
, OT B-O 
yi OT B-O 
, OT B-O 
zi OT B-O 
biểu OT B-O 
thị OT B-O 
cho OT B-O 
các OT B-O 
vec OT B-O 
-tơ OT B-O 
thuộc OT B-O 
tính OT B-O 
ẩn OT B-O 
của OT B-O 
bộ OT B-O 
phim OT B-O 
i OT B-O 
trong OT B-O 
các OT B-O 
ma OT B-O 
trận OT B-O 
R OT B-O 
, OT B-O 
V OT B-O 
, OT B-O 
W OT B-O 
. OT B-O 

𝑊 OT B-O 
kết OT B-O 
hợp OT B-O 
với OT B-O 
bộ OT B-O 
nhớ OT B-O 
trước OT B-O 
𝑠𝑡−1 OT B-O 
U OT B-O 
kết OT B-O 
hợp OT B-O 
với OT B-O 
𝑥𝑡 OT B-O 
để OT B-O 
tính OT B-O 
ra OT B-O 
bộ OT B-O 
nhớ OT B-O 
của OT B-O 
bước OT B-O 
hiện OT B-O 
tại OT B-O 
𝑠𝑡 OT B-O 
Sau OT B-O 
cùng OT B-O 
kết OT B-O 
hợp OT B-O 
với OT B-O 
V OT B-O 
để OT B-O 
tính OT B-O 
𝑦𝑡 OT B-O 
. OT B-O 

đầu OT B-O 
làm OT B-O 
tăng OT B-O 
kết OT B-O 
quả OT B-O 
dịch OT B-O 
. OT B-O 
Bảng OT B-O 
3 OT B-O 
. OT B-O 
2 OT B-O 
: OT B-O 
Điểm OT B-O 
BLEU OT B-O 
của OT B-O 
các OT B-O 
mô OT B-O 
hình OT B-O 
học OT B-O 
đối OT B-O 
ngẫu OT B-O 
sử OT B-O 
dụng OT B-O 
nhiễu OT B-O 
với OT B-O 
3 OT B-O 
mô OT B-O 
hình OT B-O 
ngôn OT B-O 
ngữ OT B-O 
trên OT B-O 
tập OT B-O 
test OT B-O 
2013 OT B-O 
. OT B-O 

mà OT B-O 
người OT B-O 
dùng OT B-O 
chưa OT B-O 
từng OT B-O 
tương OT B-O 
tác OT B-O 
để OT B-O 
xếp OT B-O 
hạng OT B-O 
thay OT B-O 
vì OT B-O 
lấy OT B-O 
toàn OT B-O 
bộ OT B-O 
. OT B-O 
Ta OT B-O 
sử OT B-O 
dụng OT B-O 
hai OT B-O 
độ OT B-O 
đo OT B-O 
Hit OT B-O 
Ratio OT B-O 
( OT B-O 
HR OT B-O 
) OT B-O 
và OT B-O 
Normalized OT B-O 
Discounted OT B-O 
Cumulative OT B-O 
Gain OT B-O 
( OT B-O 
NDCG OT B-O 
) OT B-O 
để OT B-O 
đánh OT B-O 
giá OT B-O 
kết OT B-O 
quả OT B-O 
vị OT B-O 
trí OT B-O 
của OT B-O 
test OT B-O 
item OT B-O 
trong OT B-O 
danh OT B-O 
sách OT B-O 
đã OT B-O 
được OT B-O 

lan OT B-O 
truyền OT B-O 
tiến OT B-O 
hay OT B-O 
suy OT B-O 
diễn OT B-O 
. OT B-O 
Trọng OT B-O 
số OT B-O 
của OT B-O 
mạng OT B-O 
được OT B-O 
học OT B-O 
dựa OT B-O 
trên OT B-O 
tập OT B-O 
dữ OT B-O 
liệu OT B-O 
huấn OT B-O 
luyện OT B-O 
𝐷 OT B-O 
= OT B-O 
{ OT B-O 
( OT B-O 
𝑥𝑖 OT B-O 
, OT B-O 
𝑦𝑖 OT B-O 
) OT B-O 
⁡ OT B-O 
|⁡𝑖 OT B-O 
= OT B-O 
1 OT B-O 
, OT B-O 
2 OT B-O 
, OT B-O 
… OT B-O 
, OT B-O 
𝑛 OT B-O 
} OT B-O 
bằng OT B-O 
cách OT B-O 
cực OT B-O 
tiểu OT B-O 
hóa OT B-O 
hàm OT B-O 
lỗi OT B-O 
𝐸𝐷 OT B-O 
( OT B-O 
𝑊 OT B-O 
) OT B-O 
= OT B-O 

2 OT B-O 
. OT B-O 
Mục OT B-O 
đích OT B-O 
nội OT B-O 
dung OT B-O 
của OT B-O 
ĐATN OT B-O 
Tìm OT B-O 
